benchmark,add,sub,multiply_plain,rotate_rows,square,multiply,Depth,Multplicative Depth,compile_time( ms ),execution_time (ms)
tree_50-50-5,4,0,0,0,0,1,5,1,6503,12065
tree_50-50-10,14,0,0,1,0,13,10,4,15042,72192
tree_100-50-5,12,0,0,4,0,9,8,3,8613,57603
tree_100-50-10,343,0,0,8,0,344,21,8,32611,1796660
tree_100-100-5,1,0,0,7,0,8,6,3,257,47810
tree_100-100-10,0,0,0,11,0,11,13,8,6407,70839
