run_id,target_line,run_number,depth_max,xdepth_max,mul_total,relin_total,mod_switch_total,he_add_total,rotate_total,rotation_keys,relin_keys,execution_time_ms,noise,llm_benchmark_compile_time_ms
78,3473,3,6,2,13,13,13,13,13,0,1,287.212,41,163.035
79,3474,1,5,1,11,11,11,11,11,0,1,286.748,41,158.806
80,3474,2,5,1,11,11,11,11,11,0,1,287.422,41,162.197
81,3474,3,5,1,11,11,11,11,11,0,1,286.994,42,159.257
82,3475,1,4,1,3,3,3,3,3,1,1,286.749,42,193.481
83,3475,2,4,1,3,3,3,3,3,1,1,287.093,42,191.46
84,3475,3,4,1,3,3,3,3,3,1,1,286.514,42,195.347
85,3476,1,6,2,4,4,4,4,4,0,1,285.777,41,290.085
86,3476,2,6,2,4,4,4,4,4,0,1,286.296,42,291.691
87,3476,3,6,2,4,4,4,4,4,0,1,286.333,41,294.305
88,3477,1,6,2,7,7,7,7,7,1,1,286.77,42,2512.79
89,3477,2,6,2,7,7,7,7,7,1,1,286.72,42,2496.84
90,3477,3,6,2,7,7,7,7,7,1,1,286.652,42,2503.93
91,3478,1,4,2,3,3,3,3,3,1,1,286.653,41,153.0
92,3478,2,4,2,3,3,3,3,3,1,1,286.728,42,142.005
93,3478,3,5,2,3,3,3,3,3,1,1,286.976,42,148.438
94,3479,1,6,2,5,5,5,5,5,1,1,286.459,41,150.904
95,3479,2,6,2,5,5,5,5,5,1,1,286.75,42,150.992
96,3479,3,6,2,5,5,5,5,5,1,1,286.153,41,150.934
97,3480,1,4,1,7,7,7,7,7,0,1,286.567,41,144.053
98,3480,2,4,1,7,7,7,7,7,0,1,285.726,41,145.869
99,3480,3,4,1,7,7,7,7,7,0,1,286.827,41,145.296
100,3481,1,6,2,4,4,4,4,4,1,1,286.355,42,691.405
101,3481,2,6,2,4,4,4,4,4,1,1,286.499,42,687.328
102,3481,3,6,2,4,4,4,4,4,1,1,285.985,42,694.044
103,3482,1,7,2,25,25,25,25,25,0,1,286.142,41,150.366
104,3482,2,7,2,25,25,25,25,25,0,1,286.346,42,145.224
105,3482,3,7,2,25,25,25,25,25,0,1,286.613,42,147.975
106,3483,1,7,3,11,11,11,11,11,1,1,285.88,41,179.836
107,3483,2,7,3,11,11,11,11,11,1,1,286.139,42,168.415
108,3483,3,7,3,11,11,11,11,11,1,1,286.373,42,170.387
109,3484,1,4,1,2,2,2,2,2,1,1,285.935,42,181.418
110,3484,2,4,1,2,2,2,2,2,1,1,286.358,41,184.336
111,3484,3,4,1,2,2,2,2,2,1,1,286.09,42,182.872
112,3485,1,6,2,10,10,10,10,10,0,1,286.255,42,2732.77
113,3485,2,6,2,10,10,10,10,10,0,1,286.007,41,2703.66
114,3485,3,6,2,10,10,10,10,10,0,1,286.613,41,2717.81
115,3486,1,5,2,2,2,2,2,2,1,1,286.522,42,187.453
