program_name,variant_type,op_count_or_size,poly_modulus_degree,coeff_modulus_size_bits,plain_modulus_bit_size,coeff_modulus_prime_bits_csv,depth,mul_depth,ct_ct_muls,relinearizations,rotations,ct_ct_adds,pl_ct_muls,pl_ct_adds,median_execution_time_us
rotate,scalar,250,16384,160,18,"40,30,30,30,30",250,0,0,0,250,0,0,0,3316940
rotate,scalar,500,16384,160,18,"40,30,30,30,30",500,0,0,0,500,0,0,0,6633043
rotate,scalar,750,16384,160,18,"40,30,30,30,30",750,0,0,0,750,0,0,0,9944023
rotate,scalar,1000,16384,160,18,"40,30,30,30,30",1000,0,0,0,1000,0,0,0,13257567
rotate,scalar,1,16384,160,20,"40,30,30,30,30",1,0,0,0,1,0,0,0,14155
rotate,scalar,10,16384,160,20,"40,30,30,30,30",10,0,0,0,10,0,0,0,133521
rotate,scalar,50,16384,160,20,"40,30,30,30,30",50,0,0,0,50,0,0,0,664268
rotate,scalar,80,16384,160,20,"40,30,30,30,30",80,0,0,0,80,0,0,0,1062267
rotate,scalar,100,16384,160,20,"40,30,30,30,30",100,0,0,0,100,0,0,0,1327615
rotate,scalar,250,16384,160,20,"40,30,30,30,30",250,0,0,0,250,0,0,0,3315925
rotate,scalar,500,16384,160,20,"40,30,30,30,30",500,0,0,0,500,0,0,0,6631032
rotate,scalar,750,16384,160,20,"40,30,30,30,30",750,0,0,0,750,0,0,0,9945771
rotate,scalar,1000,16384,160,20,"40,30,30,30,30",1000,0,0,0,1000,0,0,0,13256931
rotate,scalar,1,16384,160,25,"40,30,30,30,30",1,0,0,0,1,0,0,0,14160
rotate,scalar,10,16384,160,25,"40,30,30,30,30",10,0,0,0,10,0,0,0,133573
rotate,scalar,50,16384,160,25,"40,30,30,30,30",50,0,0,0,50,0,0,0,663686
rotate,scalar,80,16384,160,25,"40,30,30,30,30",80,0,0,0,80,0,0,0,1061707
rotate,scalar,100,16384,160,25,"40,30,30,30,30",100,0,0,0,100,0,0,0,1326781
rotate,scalar,250,16384,160,25,"40,30,30,30,30",250,0,0,0,250,0,0,0,3315606
rotate,scalar,500,16384,160,25,"40,30,30,30,30",500,0,0,0,500,0,0,0,6631595
