run_id,target_line,run_number,depth_max,xdepth_max,mul_total,relin_total,mod_switch_total,he_add_total,rotate_total,rotation_keys,relin_keys,execution_time_ms,noise,llm_benchmark_compile_time_ms
80,27,2,3,2,2,2,2,2,2,0,1,287.375,42,158.563
81,27,3,3,2,2,2,2,2,2,0,1,288.096,42,157.133
82,28,1,4,2,3,3,3,3,3,0,1,287.841,41,149.607
83,28,2,4,2,3,3,3,3,3,0,1,288.195,42,149.864
84,28,3,4,2,3,3,3,3,3,0,1,287.181,41,150.26
85,29,1,9,3,11,11,11,11,11,0,1,287.463,42,3793.41
86,29,2,9,3,11,11,11,11,11,0,1,287.598,41,3802.58
87,29,3,9,3,11,11,11,11,11,0,1,287.345,42,3813.68
88,30,1,4,1,3,3,3,3,3,1,1,287.368,42,241.177
89,30,2,4,1,3,3,3,3,3,1,1,288.499,42,237.47
90,30,3,4,1,3,3,3,3,3,1,1,287.496,42,244.5
91,31,1,4,1,2,2,2,2,2,1,1,287.742,42,181.711
92,31,2,4,1,2,2,2,2,2,1,1,287.362,42,184.646
93,31,3,4,1,2,2,2,2,2,1,1,287.507,42,185.239
94,32,1,3,1,1,1,1,1,1,1,1,287.462,41,145.292
95,32,2,3,1,1,1,1,1,1,1,1,287.351,42,141.21
96,32,3,3,1,1,1,1,1,1,1,1,287.582,42,145.163
97,33,1,4,1,6,6,6,6,6,0,1,287.721,42,148.465
98,33,2,4,1,6,6,6,6,6,0,1,287.368,41,163.009
99,33,3,4,1,6,6,6,6,6,0,1,287.033,42,152.123
100,34,1,2,1,2,2,2,2,2,0,1,287.489,41,154.094
101,34,2,2,1,2,2,2,2,2,0,1,287.478,42,148.556
102,34,3,2,1,2,2,2,2,2,0,1,287.297,41,151.91
103,35,1,5,2,8,8,8,8,8,0,1,287.395,42,283.566
104,35,2,5,2,8,8,8,8,8,0,1,287.146,41,286.615
105,35,3,5,2,8,8,8,8,8,0,1,287.788,42,291.896
106,36,1,8,3,10,10,10,10,10,2,1,287.823,42,186.378
107,36,2,8,3,10,10,10,10,10,2,1,287.511,41,190.124
108,36,3,8,3,10,10,10,10,10,2,1,287.528,42,186.705
109,37,1,6,1,24,24,24,24,24,0,1,287.504,41,146.706
110,37,2,6,1,24,24,24,24,24,0,1,287.676,42,150.376
111,37,3,6,1,24,24,24,24,24,0,1,287.709,41,151.368
112,38,1,6,2,3,3,3,3,3,1,1,287.491,42,1705.46
113,38,2,6,2,3,3,3,3,3,1,1,287.053,42,1729.57
114,38,3,6,2,3,3,3,3,3,1,1,287.756,42,1741.08
115,39,1,5,2,6,6,6,6,6,0,1,287.397,42,200.633
116,39,2,5,2,6,6,6,6,6,0,1,290.023,42,200.665
117,39,3,5,2,6,6,6,6,6,0,1,287.527,41,203.102
118,40,1,3,2,4,4,4,4,4,0,1,287.297,42,174.504
119,40,2,3,2,4,4,4,4,4,0,1,287.36,42,169.959
